TYPE (g - grad/u - undergrad/b - both),school,years,url
u,iueast,18-19,https://www.iue.edu/catalog/documents/2018-19_Catalog.pdf
u,iueast,19-20,https://www.iue.edu/catalog/documents/IndianaUniversityEast2019_2020Catalog.pdf
u,kalamazoo,16-17,http://www.kzoo.edu/catalog/KalamazooCollegeAcademicCatalog2016-17.pdf
u,kalamazoo,17-18,http://www.kzoo.edu/catalog/KalamazooCollegeAcademicCatalog2017-18.pdf
u,kalamazoo,18-19,http://www.kzoo.edu/catalog/KalamazooCollegeAcademicCatalog2018-19.pdf
u,kalamazoo,19-20,http://www.kzoo.edu/catalog/KalamazooCollegeAcademicCatalog2019-2020.pdf
u,mckendree,16-17,https://www.mckendree.edu/academics/info/course-catalogs/undergraduate-catalog-2016-2017.pdf
u,mckendree,17-18,https://www.mckendree.edu/academics/info/course-catalogs/undergraduate-catalog-2017-2018.pdf
u,mckendree,18-19,https://www.mckendree.edu/academics/info/course-catalogs/undergraduate-catalog-2018-2019.pdf
u,mckendree,19-20,https://www.mckendree.edu/academics/info/course-catalogs/undergraduate-catalog-2019-2020.pdf
g,mckendree,19-20,https://www.mckendree.edu/academics/info/course-catalogs/graduate-catalog-2019-2020.pdf
u,mckendree,20-21,https://www.mckendree.edu/academics/info/course-catalogs/undergraduate-catalog-2020-2021.pdf
u,mit,16-17,http://catalog.mit.edu/archive/mit-subjects-16-17-aug2016.pdf
u,mit,17-18,http://catalog.mit.edu/archive/mit-subjects-17-18.pdf
u,mit,18-19,http://catalog.mit.edu/archive/mit-subjects-18-19.pdf
u,mit,19-20,http://catalog.mit.edu/archive/mit-subjects-19-20.pdf
u,northcentralmissouri,16-17,https://www.ncmissouri.edu/academics/wp-content/uploads/sites/2/2016/10/Catalog-2016-2017-PDF.pdf
u,northcentralmissouri,17-18,https://www.ncmissouri.edu/academics/wp-content/uploads/sites/2/2017/08/College-Catalog-17-18.pdf
